zone_id,order,crop_id,crop_ko,spawn_per_100tiles,heal_hp,respawn_days,plantable,risk_note,note
zone01,1,catnip,캣닢,3,25,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.40 구간 통과 · 도깨비 대장 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×0.50) 잘 듣는다(×1.00). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone02,2,catnip,캣닢,4,27,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.47 구간 통과 · 어미 불가사리 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×0.67) 잘 듣는다(×1.08). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone03,3,catnip,캣닢,5,28,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.53 구간 통과 · 이무기(30일 데모 최종보스) 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×0.83) 잘 듣는다(×1.12). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone04,4,catnip,캣닢,6,30,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.60 구간 통과 · 지귀 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×1.00) 잘 듣는다(×1.20). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone05,5,catnip,캣닢,7,32,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.67 구간 통과 · 불볕 강철이 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×1.17) 잘 듣는다(×1.28). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone06,6,catnip,캣닢,8,33,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.73 구간 통과 · 산군 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×1.33) 잘 듣는다(×1.32). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone07,7,catnip,캣닢,9,35,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.80 구간 통과 · 삼두구미 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×1.50) 잘 듣는다(×1.40). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone08,8,catnip,캣닢,10,37,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.87 구간 통과 · 업구렁이 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×1.67) 잘 듣는다(×1.48). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone09,9,catnip,캣닢,11,38,2,1,이 밴드 도달에 필요한 것: 나무 밀도 0.93 구간 통과 · 영노 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×1.83) 잘 듣는다(×1.52). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
zone10,10,catnip,캣닢,12,40,2,1,이 밴드 도달에 필요한 것: 나무 밀도 1.00 구간 통과 · 강철이 완전체 제단권,[가안 — 판단④] **신규 종 0.** 정본 캣닢(밀도 6/100타일 · HP+25 · 2일 재생)을 밴드로 스케일한 것뿐이다 — 멀수록 진하고(×2.00) 잘 듣는다(×1.60). 오너 지시 '농사하기 좋은 작물'을 **밭·씨앗·성장단계 없이** 만든다. 심기(plantable)는 기존 respawn_days를 재사용 — 신규 타이머 0
