day,night_yokai_count,yokai_wall_dmg,pace_seal_pct,pace_mineral_tier,variant_mult,ice_melt_dps,heat_seep_pct,drop_mult,note
31,8,18,100,3,1.25,0.15,15,1.0,확장 전용 — MVP(day-curve.csv) 미수정. 적열 변종 개시·용해 개시(직사 노출 얼음 한정)
35,8,18,100,3,1.25,0.15,15,1.0,처서 한나절[가안] — 낮 더위 -1단계
40,8,18,100,3,1.25,0.15,15,1.0,한파 코어 가동 마감선
45,8,21,100,3,1.5,0.15,30,1.0,백열 변종·한가위 달밤 씨름 — 스며듦 30% = 짚 6장 정확 상쇄
50,8,21,100,3,1.5,0.15,30,1.0,불볕 강철이 고정 내습(반환점)
55,8,24,100,3,1.75,0.15,45,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기
60,8,24,100,3,1.75,0.15,45,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기 · **산군 고정 등장**(bosses.csv)
65,8,27,100,3,2,0.15,60,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기
70,8,27,100,3,2,0.15,60,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기 · **삼두구미 고정 등장**(bosses.csv)
75,8,30,100,3,2.25,0.15,75,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기
80,8,30,100,3,2.25,0.15,75,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기 · **업구렁이 고정 등장**(bosses.csv)
85,8,33,100,3,2.5,0.15,90,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기
90,8,33,100,3,2.5,0.15,90,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기 · **영노 고정 등장**(bosses.csv)
95,8,36,100,3,2.75,0.15,100,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기 · [가안] 스며듦 100% 상한 적용(선형 연장값 105% 초과)
100,8,36,100,3,2.75,0.15,100,1.0,확장 전용 — 51~100 구간(v55 신설). heat_stage·화상은 공식 확정(1.5×단계) · 밤 8마리는 night-waves.csv 파도당 8 고정과 정합 · [가안] 벽피해·변종배율·스며듦은 31~50 두 앵커의 단계당 증분(+3/+0.25/+15)을 연장한 값 — 오너 승인 대기 · [가안] 스며듦 100% 상한 적용(선형 연장값 105% 초과) · **강철이 완전체 고정 등장**(bosses.csv)
