day,night_yokai_count,yokai_wall_dmg,pace_seal_pct,pace_mineral_tier,max_active,spawn_composition,drop_mult,event_id
1,1,8,3,1,1,club:1,1.0,
2,1,8,7,1,1,club:1,1.0,
3,1,8,10,1,1,club:1,1.0,
4,1,8,13,1,1,club:1,1.0,
5,2,8,17,1,2,club:2,1.0,
6,2,10,20,1,2,"club:1,bulgasari:1",1.0,
7,2,10,23,1,2,"club:1,bulgasari:1",1.0,
8,2,10,27,1,2,"club:1,bulgasari:1",1.0,
9,3,10,30,1,3,"club:2,bulgasari:1",1.0,
10,3,10,33,1,3,"club:2,bulgasari:1",1.0,
11,3,12,37,2,3,"club:1,bulgasari:1,yakwang:1",1.0,
12,3,12,40,2,3,"club:1,bulgasari:1,yakwang:1",1.0,
13,4,12,43,2,4,"club:1,bulgasari:1,yakwang:2",1.0,
14,4,12,47,2,4,"club:1,bulgasari:1,yakwang:2",1.0,
15,4,12,50,2,12,"club:3,bulgasari:2,yakwang:6,gaekgwi:1",3.0,baekjung
16,4,14,53,2,4,"club:1,bulgasari:1,yakwang:1,eoduksini:1",1.0,
17,5,14,57,2,5,"bulgasari:1,yakwang:2,eoduksini:2",1.0,
18,5,14,60,2,5,"bulgasari:1,yakwang:3,eoduksini:1",1.0,
19,5,14,63,2,5,"bulgasari:1,yakwang:2,eoduksini:2",1.0,
20,5,14,67,2,5,"club:1,bulgasari:2,eoduksini:2",1.0,
21,6,16,70,3,6,"club:1,bulgasari:1,yakwang:2,eoduksini:2",1.0,
22,6,16,73,3,6,"club:1,bulgasari:1,yakwang:2,eoduksini:2",1.0,
23,6,16,77,3,6,"club:1,bulgasari:3,eoduksini:2",1.0,
24,6,16,80,3,6,"club:1,bulgasari:1,yakwang:2,eoduksini:2",1.0,
25,7,16,83,3,7,"club:2,bulgasari:1,yakwang:2,eoduksini:2",1.0,
26,7,18,87,3,7,"club:2,bulgasari:1,yakwang:2,eoduksini:2",1.0,
27,7,18,90,3,7,"club:1,bulgasari:1,yakwang:2,eoduksini:3",1.0,
28,7,18,93,3,7,"club:2,bulgasari:1,yakwang:2,eoduksini:2",1.0,
29,8,18,97,3,8,"club:2,bulgasari:2,yakwang:2,eoduksini:2",1.0,
30,8,18,100,3,8,"club:2,bulgasari:2,yakwang:1,eoduksini:2,imugi:1",1.0,imugi_boss
