band,day_min,day_max,wave,mult,composition,effective_hp
T4,31,50,1,1.00,"club:4,bulgasari:2,yakwang:2",2880
T4,31,50,2,1.25,"club:3,bulgasari:2,yakwang:2,eoduksini:1",4262
T4,31,50,3,1.50,"club:2,bulgasari:3,yakwang:1,eoduksini:2",6810
T4,31,50,4,1.75,"club:1,bulgasari:3,yakwang:1,eoduksini:3",8872
T4,31,50,5,2.00,"bulgasari:4,eoduksini:4",12400
T5,51,70,1,1.00,"club:4,yakwang:2,eoduksini:2",2980
T5,51,70,2,1.25,"club:2,bulgasari:2,yakwang:2,eoduksini:2",4925
T5,51,70,3,1.50,"club:2,bulgasari:3,yakwang:1,eoduksini:2",6810
T5,51,70,4,1.75,"bulgasari:4,yakwang:1,eoduksini:3",9712
T5,51,70,5,2.00,"bulgasari:3,eoduksini:5",12500
T6,71,100,1,1.00,"club:2,bulgasari:1,yakwang:2,eoduksini:3",3990
T6,71,100,2,1.25,"club:2,yakwang:2,eoduksini:4",5050
T6,71,100,3,1.50,"club:2,yakwang:1,eoduksini:5",7035
T6,71,100,4,1.75,"bulgasari:2,yakwang:1,eoduksini:5",9888
T6,71,100,5,2.00,"eoduksini:8",12800
