item_id,tier,name_ko,attack_dmg,attacks_per_sec,dps,knockback_tiles,verify_note,range_tiles,arc_deg,multi_target,hits_walls
bare_claw,1,맨발톱,15,1.5,22.5,0.5,v30 손맛 상향(오너 확정 2026-07-23) — 1일차 방망이 도깨비 1마리 12초(여유 97.8%),1.5,90,1,1
iron_claw,2,무쇠 발톱,24,1.5,36,1.0,10일차 3마리 35.8초(여유 93.4%) — 능력: 채굴 크리 15%,1.5,90,1,1
icesteel_claw,3,얼음강철 발톱,42,1.5,63,1.5,20일차 53.5초(90.1%) · 30일차 91.9초(83.0%) — 능력: 서리 서림+넓은 할퀴기,2.0,120,1,1
dokkaebi_club,W1,도깨비 방망이,20,1.5,30,2.0,조각×3 제작 — 8~17일차 유효 넉백 특화,2.0,90,1,1
cheolseon,E1,철선,18,1.5,27,1.5,합죽선 진화(화로T2)·통제형 최저DPS27<방망이30 / 기본넉백1.5<2.0 / 액티브 밀치기 2타일·뎀4·쿨3초(지속DPS<=28.33) / 보스넉백무효·딜적용·채굴불가 / v24: 사거리 2.0·벽 타격 ✕ 확정(부채 판정 = 합죽선 공유). 구 U2 중복행 삭제 — E1이 정본 id,2.0,90,1,0
frostclaw_gauntlet,W2,서리발톱 장갑,60,1.5,90,1.5,강철이 역린 필요 — 30일차 밤 이후 엔드 무기,2.0,120,1,1
hapjukseon,U1,합죽선,0,-,0,2.0,기본 공격 없음 — 액티브 전용: 밀치기 뎀0·넉백2타일·쿨3초·전방2타일(6-13),2.0,90,1,0
straw_sling,1,짚 투석기,7,1.5,10.5,0.5,v46 원거리 T1 (아트표기 DPS10 근사·attack int 계약),6.0,0,0,0
gakgung,2,각궁,11,1.5,16.5,0.5,v46 원거리 T2 (아트 DPS16.8 근사),8.0,0,0,0
singijeon_sondae,3,신기전 손대,19,1.5,28.5,0.5,v46 원거리 T3 (아트 DPS28 근사),10.0,0,0,0
seonge_gakgung,4,성에 각궁,27,1.5,40.5,0.5,v46 원거리 T4,10.0,0,0,0
ice_root_bow,5,도관 노,28,1.5,42.0,0.5,v46 원거리 T5 (아트 DPS42.5 근사),12.0,0,0,0
cold_wave_singijeon,6,한파 신기전,30,1.5,45.0,0.5,v46 원거리 T6 (아트 DPS44.6 근사),12.0,0,0,0
seonge_fan,3,서리 부채,19,1.5,28.5,1.5,v46 부채 T3 (아트 DPS29 근사),2.0,90,1,0
ice_root_whipfan,5,얼음뿌리 채찍선,21,1.5,31.5,1.5,v46 부채 T5,2.5,90,1,0
cold_wave_fan,6,한파 부채,22,1.5,33.0,1.5,v46 부채 T6 (아트 DPS33.1 근사),2.5,90,1,0
sangun_claw,5,산군 발톱,63,1.5,94.5,1.5,v46 발톱 T5,2.0,120,1,1
perfect_claw,6,완전체 발톱,66,1.5,99.0,1.5,v46 발톱 T6 (아트 DPS99.2 근사),2.0,120,1,1
