id,station,output,amount,ingredients,durationSeconds
workbench,None,workbench,1,dirt:8|stone:12,0
furnace,Workbench,furnace,1,stone:22|dirt:8|iron_ore:6|copper_ore:4,30
ice_anvil,Foundry,ice_anvil,1,iron_ingot:5|copper_ingot:2|icesteel_ingot:4,60
iron_claw,Furnace,iron_claw,1,iron_ingot:4|copper_ingot:2|stone:5,60
icesteel_claw,IceAnvil,icesteel_claw,1,icesteel_ingot:5|frost_essence:2,120
straw_helm,Workbench,straw_helm,1,hemp_stalk:4|wood:2,10
straw_armor,Workbench,straw_armor,1,hemp_stalk:6|wood:4,10
straw_boots,Workbench,straw_boots,1,hemp_stalk:3|wood:2,10
iron_helm,Furnace,iron_helm,1,iron_ingot:1|copper_ingot:1,30
iron_armor,Furnace,iron_armor,1,iron_ingot:3|copper_ingot:1,30
iron_boots,Furnace,iron_boots,1,iron_ingot:1|copper_ingot:1,30
icesteel_helm,IceAnvil,icesteel_helm,1,icesteel_ingot:2,60
icesteel_armor,IceAnvil,icesteel_armor,1,icesteel_ingot:4,60
icesteel_boots,IceAnvil,icesteel_boots,1,icesteel_ingot:2,60
lantern,Workbench,lantern,1,wood:4|hemp_stalk:2|coal:2,10
sieve,Workbench,sieve,1,hemp_stalk:6|wood:2,10
haetae_statue,Furnace,haetae_statue,1,stone:20|copper_ingot:3|yokai_tear:20,60
nest_bed,Workbench,nest_bed,1,wood:6|hemp_stalk:4,10
magpie_nest,Workbench,magpie_nest,1,wood:8|hemp_stalk:6,10
blast_furnace,Furnace,blast_furnace,1,clay:12|stone:20|iron_ore:6,45
hapjukseon,Workbench,hapjukseon,1,hemp_stalk:6|wood:3,10
cheolseon,Furnace,cheolseon,1,hapjukseon:1|iron_ingot:2|iron_scale:1,30
dokkaebi_club,Workbench,dokkaebi_club,1,club_shard:3|wood:4,30
frostclaw_gauntlet,IceAnvil,frostclaw_gauntlet,1,gangcheol_scale:1|frost_essence:6|icesteel_ingot:4|yokai_tear:25|shadow_shard:5,120
iron_insul_wall,Furnace,iron_insul_wall,1,iron_scale:2|iron_ingot:2|stone:2,20
cold_device,IceAnvil,cold_device,1,yokai_tear:40|frost_essence:2|ice_shard:10|copper_ingot:2,60
insul_wall,Workbench,insul_wall,1,stone:2|dirt:1,5
door,Workbench,door,1,wood:6|hemp_stalk:4|ice_shard:4,30
roof,Furnace,roof,1,stone:6|rebar:3|hemp_stalk:2,20
jangdok,Workbench,jangdok,1,dirt:10|stone:8|wood:6,45
ice_core,Furnace,ice_core,1,ice_shard:20|stone:10|iron_ingot:2,60
ssireum_satba,Workbench,ssireum_satba,1,club_shard:1|hemp_stalk:10|wood:5,30
drought_talisman,IceAnvil,drought_talisman,1,yokai_tear:30|shadow_shard:2|hemp_stalk:5,30
dokkaebi_fire_tower,Workbench,dokkaebi_fire_tower,1,dokkaebi_fire_essence:1|wood:10|stone:10|coal:5,60
cold_wave_core,IceAnvil,cold_wave_core,1,drought_heart:1|icesteel_ingot:6|frost_essence:4,60
straw_insul,Workbench,straw_insul,1,hemp_stalk:3|wood:1,5
clay_plaster,Workbench,clay_plaster,1,clay:2|dirt:2,5
munpungji,Workbench,munpungji,1,hemp_stalk:4|wood:2,10
iron_bell_rope,Furnace,iron_bell_rope,1,bell_rope:1|iron_ingot:1,20
iron_sieve,Furnace,iron_sieve,1,sieve:1|iron_ingot:1|iron_scale:1,20
frost_lantern,IceAnvil,frost_lantern,1,lantern:1|icesteel_ingot:1|frost_essence:1,30
bell_rope,Workbench,bell_rope,1,copper_ingot:1|wood:4,10
minhwa_scroll,Workbench,minhwa_scroll,1,hemp_stalk:2|dirt:1,0
saekdong_lantern,Workbench,saekdong_lantern,1,hemp_stalk:2|coal:1,0
onggi_pot,Workbench,onggi_pot,1,clay:3,0
wind_chime,Furnace,wind_chime,1,copper_ingot:1,0
saekdong_cushion,Workbench,saekdong_cushion,1,hemp_stalk:3|wood:1,0
water_jar,Workbench,water_jar,1,clay:2|stone:2,5
ice_jar,Workbench,ice_jar,1,clay:3|ice_shard:2,10
