terrain_id,terrain_ko,yokai_id,yokai_ko,weight,implemented,note,terrain_resources,resource_count
surface_line,지표선,club,방망이 도깨비,40,1,GDD 9-0b d=0 · 1D 펄린 ±6 · 가중치 합 100,wood|hemp_stalk,2
surface_line,지표선,bulgasari,불가사리,20,1,GDD 9-0b d=0 · 1D 펄린 ±6 · 가중치 합 100,wood|hemp_stalk,2
surface_line,지표선,yakwang,야광귀,20,1,GDD 9-0b d=0 · 1D 펄린 ±6 · 가중치 합 100,wood|hemp_stalk,2
surface_line,지표선,eoduksini,어둑시니,10,1,GDD 9-0b d=0 · 1D 펄린 ±6 · 가중치 합 100,wood|hemp_stalk,2
surface_line,지표선,gaekgwi,객귀,10,1,GDD 9-0b d=0 · 1D 펄린 ±6 · 가중치 합 100,wood|hemp_stalk,2
surface_line,지표선,gangcheol,강철이,0,1,GDD 9-0b d=0 · 1D 펄린 ±6 · 가중치 합 100,wood|hemp_stalk,2
surface_line,지표선,imugi,이무기,0,1,GDD 9-0b d=0 · 1D 펄린 ±6 · 가중치 합 100,wood|hemp_stalk,2
ruins,폐허,club,방망이 도깨비,25,1,GDD 4-3 철근 획득처 · 상자 4개 · 가중치 합 100,rebar,1
ruins,폐허,bulgasari,불가사리,10,1,GDD 4-3 철근 획득처 · 상자 4개 · 가중치 합 100,rebar,1
ruins,폐허,yakwang,야광귀,50,1,GDD 4-3 철근 획득처 · 상자 4개 · 가중치 합 100,rebar,1
ruins,폐허,eoduksini,어둑시니,0,1,GDD 4-3 철근 획득처 · 상자 4개 · 가중치 합 100,rebar,1
ruins,폐허,gaekgwi,객귀,15,1,GDD 4-3 철근 획득처 · 상자 4개 · 가중치 합 100,rebar,1
ruins,폐허,gangcheol,강철이,0,1,GDD 4-3 철근 획득처 · 상자 4개 · 가중치 합 100,rebar,1
ruins,폐허,imugi,이무기,0,1,GDD 4-3 철근 획득처 · 상자 4개 · 가중치 합 100,rebar,1
layer_upper,상층 T1,club,방망이 도깨비,60,1,GDD 9-0b d 1~45 · 가중치 합 100,dirt|stone|coal|clay|oyster_mushroom,5
layer_upper,상층 T1,bulgasari,불가사리,40,1,GDD 9-0b d 1~45 · 가중치 합 100,dirt|stone|coal|clay|oyster_mushroom,5
layer_upper,상층 T1,yakwang,야광귀,0,1,GDD 9-0b d 1~45 · 가중치 합 100,dirt|stone|coal|clay|oyster_mushroom,5
layer_upper,상층 T1,eoduksini,어둑시니,0,1,GDD 9-0b d 1~45 · 가중치 합 100,dirt|stone|coal|clay|oyster_mushroom,5
layer_upper,상층 T1,gaekgwi,객귀,0,1,GDD 9-0b d 1~45 · 가중치 합 100,dirt|stone|coal|clay|oyster_mushroom,5
layer_upper,상층 T1,gangcheol,강철이,0,1,GDD 9-0b d 1~45 · 가중치 합 100,dirt|stone|coal|clay|oyster_mushroom,5
layer_upper,상층 T1,imugi,이무기,0,1,GDD 9-0b d 1~45 · 가중치 합 100,dirt|stone|coal|clay|oyster_mushroom,5
layer_mid,중층 T2,club,방망이 도깨비,25,1,GDD 9-0b d 46~90 · 가중치 합 100,iron_ore|copper_ore|ice_shard|shiitake,4
layer_mid,중층 T2,bulgasari,불가사리,50,1,GDD 9-0b d 46~90 · 가중치 합 100,iron_ore|copper_ore|ice_shard|shiitake,4
layer_mid,중층 T2,yakwang,야광귀,0,1,GDD 9-0b d 46~90 · 가중치 합 100,iron_ore|copper_ore|ice_shard|shiitake,4
