zone_id,order,dist_tiles_from,dist_tiles_to,dist_norm_from,dist_norm_to,tier,altar_id,boss_id,boss_ko,boss_day,boss_hp,boss_summon_type,tree_density_mult,note,heat_stage,gate_role
zone01,1,0,30,0.00,0.10,1,altar_king_dokkaebi,king_dokkaebi,도깨비 대장,-,13800,소환식,0.40,[v64] 맵 600 기준 |x-300| = 0~30타일(밴드 폭 30). 폭염 단계 1 · 관문(1→2) · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 0~20타일. 티어 1 = 도깨비 대장(8일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,1,관문(1→2)
zone02,2,30,60,0.10,0.20,2,altar_mother_bulgasari,mother_bulgasari,어미 불가사리,-,10000,소환식,0.47,[v64] 맵 600 기준 |x-300| = 30~60타일(밴드 폭 30). 폭염 단계 2 · 선택 보스 · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 20~40타일. 티어 2 = 어미 불가사리(20일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,2,선택 보스
zone03,3,60,90,0.20,0.30,3,altar_imugi_boss,imugi_boss,이무기(30일 데모 최종보스),-,16000,소환식,0.53,[v64] 맵 600 기준 |x-300| = 60~90타일(밴드 폭 30). 폭염 단계 2 · 관문(2→3) · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 40~60타일. 티어 3 = 이무기(30일 데모 최종보스)(30일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,2,관문(2→3)
zone04,4,90,120,0.30,0.40,4,altar_jigwi,jigwi,지귀,-,21500,소환식,0.60,[v64] 맵 600 기준 |x-300| = 90~120타일(밴드 폭 30). 폭염 단계 3 · 선택 보스 · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 60~80타일. 티어 4 = 지귀(40일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,3,선택 보스
zone05,5,120,150,0.40,0.50,5,altar_gangcheol_blaze,gangcheol_blaze,불볕 강철이,-,21000,내습형,0.67,[v64] 맵 600 기준 |x-300| = 120~150타일(밴드 폭 30). 폭염 단계 3 · 선택 보스 · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 80~100타일. 티어 5 = 불볕 강철이(50일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,3,선택 보스
zone06,6,150,180,0.50,0.60,6,altar_sangun,sangun,산군,-,22500,내습형,0.73,[v64] 맵 600 기준 |x-300| = 150~180타일(밴드 폭 30). 폭염 단계 3 · 선택 보스 · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 100~120타일. 티어 6 = 산군(60일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,3,선택 보스
zone07,7,180,210,0.60,0.70,7,altar_samdugumi,samdugumi,삼두구미,-,22000,소환식,0.80,[v64] 맵 600 기준 |x-300| = 180~210타일(밴드 폭 30). 폭염 단계 3 · 선택 보스 · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 120~140타일. 티어 7 = 삼두구미(70일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,3,선택 보스
zone08,8,210,240,0.70,0.80,8,altar_eop_guryeongi,eop_guryeongi,업구렁이,-,20500,소환식,0.87,[v64] 맵 600 기준 |x-300| = 210~240타일(밴드 폭 30). 폭염 단계 3 · 선택 보스 · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 140~160타일. 티어 8 = 업구렁이(80일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,3,선택 보스
zone09,9,240,270,0.80,0.90,9,altar_yeongno,yeongno,영노,-,20000,내습형,0.93,[v64] 맵 600 기준 |x-300| = 240~270타일(밴드 폭 30). 폭염 단계 3 · 선택 보스 · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 160~180타일. 티어 9 = 영노(90일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,3,선택 보스
zone10,10,270,300,0.90,1.00,10,altar_gangcheol_perfect,gangcheol_perfect,강철이 완전체,-,22000,내습형,1.00,[v64] 맵 600 기준 |x-300| = 270~300타일(밴드 폭 30). 폭염 단계 3 · 관문(최종·엔딩) · 아레나 지상. 밴드 폭은 map_width/2/zone_count로 유도(맵 가변) — dist_norm_*이 정본이고 dist_tiles_*는 현 맵 참고값. 스폰(x=200) 기준 좌우 대칭 |x-200| = 180~200타일. 티어 10 = 강철이 완전체(100일차) 제단. ⚠️ 밴드 순서는 발명이 아니라 bosses.csv recommended_day 순서 그대로다. 밴드 폭 20 = 맵 절반 200 ÷ 보스 10종(GDD 9장 맵 400×160).,3,관문(최종·엔딩)
